date,dealer_id,product_id,total_demand,stock_in,stock_out,closing_stock,beneficiaries_count,festival_flag,season,policy_change_flag
2023-01-04,102,2,65,178,65,302,22,0,winter,0
2023-01-05,103,2,86,93,86,146,43,0,winter,0
2023-01-05,103,3,49,278,49,509,69,0,winter,0
2023-01-05,103,4,98,125,98,417,98,0,winter,0
2023-01-05,102,1,172,245,172,537,11,0,winter,0
2023-01-05,102,3,52,260,52,658,78,0,winter,0
2023-01-05,102,2,70,140,70,275,55,0,winter,0
2023-01-05,102,4,62,25,62,265,73,0,winter,0
2023-01-06,103,2,97,6,97,404,49,0,winter,0
2023-01-06,103,3,93,71,93,196,24,0,winter,0
2023-01-06,103,4,143,178,143,166,96,0,winter,0
2023-01-06,101,1,77,80,77,180,94,0,winter,0
2023-01-06,101,2,82,160,82,279,27,0,winter,0
2023-01-06,101,4,66,208,66,350,36,0,winter,0
2023-01-07,102,4,116,46,116,134,42,0,winter,0
2023-01-07,102,1,87,6,87,170,97,0,winter,0
2023-01-07,102,3,72,177,72,547,60,0,winter,0
2023-01-07,102,2,177,248,177,495,46,0,winter,0
2023-01-07,104,3,139,144,139,454,88,0,winter,0
2023-01-07,104,4,50,236,50,665,76,0,winter,0
2023-01-08,103,4,166,7,166,47,61,0,winter,0
2023-01-08,103,2,173,234,173,310,31,0,winter,0
2023-01-08,103,1,174,281,174,557,46,0,winter,0
2023-01-08,103,3,181,205,181,320,48,0,winter,0
2023-01-08,104,2,146,223,146,536,87,0,winter,0
2023-01-08,104,3,51,43,51,358,77,0,winter,0
2023-01-08,104,4,37,32,37,276,77,0,winter,0
2023-01-08,104,1,151,113,151,199,25,0,winter,0
2023-01-09,103,4,42,254,42,418,54,0,winter,0
2023-01-09,103,1,63,2,63,133,14,0,winter,0
2023-01-09,101,3,43,80,43,350,64,0,winter,0
2023-01-09,101,2,101,294,101,521,15,0,winter,0
2023-01-09,101,4,168,92,168,329,19,0,winter,0
2023-01-09,101,1,164,81,164,186,54,0,winter,0
2023-01-09,102,3,128,77,128,182,84,0,winter,0
2023-01-09,102,2,126,48,126,148,82,0,winter,0
2023-01-09,102,1,125,124,125,317,32,0,winter,0
2023-01-10,102,3,175,206,175,322,14,0,winter,0
2023-01-10,102,1,187,88,187,234,54,0,winter,0
2023-01-10,102,2,110,210,110,369,93,0,winter,0
2023-01-10,105,1,146,103,146,263,63,0,winter,0
2023-01-10,105,2,71,284,71,553,28,0,winter,0
2023-01-10,105,4,144,246,144,217,96,0,winter,0
2023-01-10,105,3,36,264,36,492,78,0,winter,0
2023-01-10,103,2,49,240,49,475,95,0,winter,0
2023-01-10,103,1,198,271,198,518,73,0,winter,0
2023-01-10,103,3,64,279,64,413,67,0,winter,0
2023-01-10,103,4,40,140,40,464,35,0,winter,0
2023-01-10,101,2,147,38,147,52,31,0,winter,0
2023-01-10,101,1,57,26,57,284,80,0,winter,0
2023-01-10,104,1,164,200,164,411,43,0,winter,0
2023-01-10,104,4,83,289,83,610,73,0,winter,0
2023-01-10,104,2,91,196,91,349,86,0,winter,0
2023-01-10,104,3,98,260,98,561,41,0,winter,0
2023-01-11,101,4,22,25,22,168,56,0,winter,0
2023-01-11,101,1,117,95,117,177,28,0,winter,0
2023-01-11,104,4,100,85,100,255,93,0,winter,0
2023-01-11,104,2,73,156,73,464,50,0,winter,0
2023-01-11,104,3,125,216,125,486,65,0,winter,0
2023-01-11,104,1,124,247,124,476,10,0,winter,0
2023-01-11,105,3,131,235,131,209,12,0,winter,0
2023-01-11,105,2,166,234,166,499,39,0,winter,0
2023-01-11,105,4,32,23,32,478,90,0,winter,0
2023-01-12,104,4,172,40,172,285,97,0,winter,0
2023-01-12,104,3,45,269,45,361,83,0,winter,0
2023-01-12,104,2,55,230,55,428,73,0,winter,0
2023-01-12,105,4,98,265,98,548,14,0,winter,0
2023-01-12,105,2,180,245,180,294,44,0,winter,0
2023-01-12,105,3,138,273,138,279,82,0,winter,0
2023-01-12,105,1,26,299,26,587,72,0,winter,0
2023-01-12,101,4,181,221,181,385,77,0,winter,0
2023-01-12,101,1,178,170,178,476,21,0,winter,0
2023-01-12,101,2,140,135,140,403,49,0,winter,0
2023-01-12,103,3,193,135,193,390,83,0,winter,0
2023-01-12,103,1,100,189,100,273,20,0,winter,0
2023-01-13,102,2,112,129,112,425,38,0,winter,0
2023-01-13,102,3,98,78,98,317,83,0,winter,0
2023-01-13,102,1,142,3,142,199,82,0,winter,0
2023-01-13,102,4,191,156,191,170,79,0,winter,0
2023-01-13,103,4,171,114,171,251,43,0,winter,0
2023-01-13,103,1,95,220,95,371,68,0,winter,0
2023-01-13,103,2,41,37,41,421,48,0,winter,0
2023-01-13,105,4,71,189,71,276,18,0,winter,0
2023-01-13,105,1,126,42,126,396,68,0,winter,0
2023-01-13,105,2,169,263,169,570,55,0,winter,0
2023-01-13,105,3,56,196,56,461,97,0,winter,0
2023-01-14,105,1,65,158,65,259,38,0,winter,0
2023-01-14,105,3,136,149,136,124,93,0,winter,0
2023-01-14,105,2,59,122,59,432,24,0,winter,0
2023-01-14,104,1,155,93,155,413,85,0,winter,0
2023-01-14,104,3,166,43,166,308,42,0,winter,0
2023-01-14,104,2,135,49,135,215,78,0,winter,0
2023-01-14,103,2,181,65,181,20,82,0,winter,0
2023-01-14,103,4,48,224,48,547,46,0,winter,0
2023-01-14,103,1,87,208,87,609,51,0,winter,0
2023-01-15,102,4,184,194,184,245,58,0,winter,0
2023-01-15,102,1,93,195,93,262,57,0,winter,0
2023-01-15,102,3,21,257,21,533,29,0,winter,0
2023-01-15,101,4,143,260,143,295,45,0,winter,0
2023-01-15,101,1,172,118,172,347,74,0,winter,0
2023-01-15,101,3,185,141,185,162,73,0,winter,0
2023-01-15,103,2,184,275,184,274,48,0,winter,0
2023-01-15,103,3,56,226,56,655,94,0,winter,0
2023-01-15,103,1,154,153,154,345,51,0,winter,0
2023-01-15,103,4,111,70,111,192,12,0,winter,0
2023-01-16,105,4,160,244,160,417,79,0,winter,0
2023-01-16,105,1,169,107,169,173,18,0,winter,0
2023-01-16,105,2,128,37,128,19,71,0,winter,0
2023-01-16,101,2,153,34,153,4,10,0,winter,0
2023-01-16,101,4,156,70,156,35,47,0,winter,0
2023-01-16,101,1,37,42,37,239,34,0,winter,0
2023-01-16,104,1,177,126,177,308,11,0,winter,0
2023-01-16,104,3,36,86,36,290,72,0,winter,0
2023-01-16,102,3,78,275,78,529,14,0,winter,0
2023-01-16,102,1,83,204,83,242,74,0,winter,0
2023-01-16,103,4,138,87,138,262,45,0,winter,0
2023-01-16,103,2,25,179,25,636,24,0,winter,0
2023-01-16,103,3,175,172,175,430,63,0,winter,0
2023-01-16,103,1,29,8,29,135,77,0,winter,0
2023-01-17,105,3,94,162,94,198,97,0,winter,0
2023-01-17,105,1,74,186,74,379,84,0,winter,0
2023-01-17,104,1,187,47,187,169,21,0,winter,0
2023-01-17,104,4,77,0,77,26,35,0,winter,0
2023-01-17,101,4,189,26,189,131,65,0,winter,0
2023-01-17,101,2,192,54,192,23,48,0,winter,0
2023-01-17,102,1,194,90,194,313,40,0,winter,0
2023-01-17,102,4,179,198,179,183,10,0,winter,0
2023-01-18,101,1,180,135,180,82,40,0,winter,0
2023-01-18,101,2,132,291,132,407,14,0,winter,0
2023-01-18,103,4,163,95,163,68,74,0,winter,0
2023-01-18,103,3,169,52,169,87,70,0,winter,0
2023-01-18,103,2,86,272,86,659,17,0,winter,0
2023-01-18,103,1,140,129,140,386,46,0,winter,0
2023-01-18,105,2,29,263,29,638,66,0,winter,0
2023-01-18,105,4,66,12,66,395,16,0,winter,0
2023-01-18,105,1,163,172,163,413,17,0,winter,0
2023-01-18,104,4,36,55,36,168,15,0,winter,0
2023-01-18,104,1,97,226,97,587,13,0,winter,0
2023-01-18,104,2,47,1,47,370,51,0,winter,0
2023-01-18,104,3,100,66,100,260,56,0,winter,0
2023-01-19,102,3,110,159,110,233,53,0,winter,0
2023-01-19,102,4,164,11,164,161,15,0,winter,0
2023-01-19,102,1,71,179,71,243,23,0,winter,0
2023-01-19,105,1,103,59,103,164,27,0,winter,0
2023-01-19,105,2,26,122,26,285,73,0,winter,0
2023-01-19,105,3,110,9,110,239,27,0,winter,0
2023-01-19,105,4,105,205,105,359,64,0,winter,0
2023-01-20,101,4,171,52,171,230,17,0,winter,0
2023-01-20,101,1,119,101,119,105,24,0,winter,0
2023-01-20,101,3,86,139,86,460,90,0,winter,0
2023-01-20,102,1,57,107,57,246,85,0,winter,0
2023-01-20,102,3,106,233,106,509,23,0,winter,0
2023-01-21,101,4,93,158,93,508,83,0,winter,0
2023-01-21,101,3,55,6,55,185,33,0,winter,0
2023-01-21,101,2,86,12,86,248,54,0,winter,0
2023-01-21,101,1,83,231,83,465,82,0,winter,0
2023-01-21,105,2,130,144,130,152,47,0,winter,0
2023-01-21,105,1,51,198,51,404,78,0,winter,0
2023-01-21,105,4,197,39,197,118,63,0,winter,0
2023-01-22,102,3,45,167,45,458,89,0,winter,0
2023-01-22,102,2,187,217,187,529,55,0,winter,0
2023-01-22,103,3,73,7,73,90,10,0,winter,0
2023-01-22,103,1,179,83,179,295,66,0,winter,0
2023-01-22,103,2,31,61,31,167,15,0,winter,0
2023-01-22,104,2,190,236,190,362,25,0,winter,0
2023-01-22,104,3,131,273,131,288,25,0,winter,0
2023-01-22,104,4,62,131,62,260,54,0,winter,0
2023-01-23,105,2,75,29,75,202,32,0,winter,0
2023-01-23,105,4,95,121,95,474,18,0,winter,0
2023-01-23,105,1,45,242,45,329,60,0,winter,0
2023-01-23,101,3,159,32,159,103,95,0,winter,0
2023-01-23,101,4,105,13,105,135,62,0,winter,0
2023-01-23,103,3,190,122,190,41,81,0,winter,0
2023-01-23,103,4,126,245,126,553,85,0,winter,0
2023-01-23,103,1,78,231,78,476,36,0,winter,0
2023-01-23,103,2,22,82,22,213,74,0,winter,0
2023-01-23,102,2,21,85,21,269,58,0,winter,0
2023-01-23,102,4,39,185,39,324,33,0,winter,0
2023-01-23,102,3,79,123,79,463,83,0,winter,0
2023-01-24,104,1,139,242,139,208,51,0,winter,0
2023-01-24,104,2,82,255,82,573,49,0,winter,0
2023-01-24,104,4,163,12,163,103,18,0,winter,0
2023-01-24,105,4,45,234,45,465,34,0,winter,0
2023-01-24,105,1,47,213,47,542,61,0,winter,0
2023-01-24,103,1,101,292,101,646,30,0,winter,0
2023-01-24,103,2,24,183,24,358,20,0,winter,0
2023-01-24,103,3,188,265,188,293,57,0,winter,0
2023-01-24,101,4,83,287,83,697,29,0,winter,0
2023-01-24,101,3,181,289,181,378,48,0,winter,0
2023-01-24,101,2,85,52,85,400,46,0,winter,0
2023-01-24,102,1,40,71,40,144,26,0,winter,0
2023-01-24,102,3,113,222,113,416,99,0,winter,0
2023-01-25,105,3,99,178,99,197,46,0,winter,0
2023-01-25,105,4,70,10,70,220,33,0,winter,0
2023-01-25,101,4,54,95,54,175,34,0,winter,0
2023-01-25,101,2,176,142,176,449,30,0,winter,0
2023-01-25,101,3,141,281,141,257,30,0,winter,0
2023-01-26,104,4,46,181,46,561,60,0,winter,0
2023-01-26,104,2,111,209,111,405,57,0,winter,0
2023-01-26,104,3,84,197,84,343,27,0,winter,0
2023-01-26,101,3,77,91,77,241,74,0,winter,0
2023-01-26,101,2,87,30,87,158,60,0,winter,0
2023-01-26,101,4,75,236,75,468,61,0,winter,0
2023-01-26,103,4,182,23,182,143,77,0,winter,0
2023-01-26,103,2,135,163,135,437,33,0,winter,0
2023-01-26,103,1,65,275,65,534,41,0,winter,0
2023-01-27,104,3,189,86,189,225,33,0,winter,0
2023-01-27,104,4,113,199,113,474,80,0,winter,0
2023-01-27,101,3,123,289,123,491,60,0,winter,0
2023-01-27,101,2,126,135,126,169,55,0,winter,0
2023-01-27,105,2,170,246,170,231,57,0,winter,0
2023-01-27,105,3,42,170,42,611,39,0,winter,0
2023-01-27,105,4,176,136,176,70,36,0,winter,0
2023-01-27,103,3,61,184,61,275,72,0,winter,0
2023-01-27,103,4,156,264,156,533,90,0,winter,0
2023-01-28,103,2,101,290,101,425,63,0,winter,0
2023-01-28,103,1,71,146,71,507,62,0,winter,0
2023-01-28,102,4,94,55,94,301,69,0,winter,0
2023-01-28,102,2,77,44,77,383,80,0,winter,0
2023-01-28,102,1,43,134,43,476,93,0,winter,0
2023-01-28,102,3,157,258,157,439,76,0,winter,0
2023-01-29,105,4,121,22,121,303,42,0,winter,0
2023-01-29,105,2,165,4,165,0,79,0,winter,0
2023-01-29,105,3,138,272,138,301,95,0,winter,0
2023-01-29,104,2,23,67,23,157,99,0,winter,0
2023-01-29,104,1,70,142,70,531,94,0,winter,0
2023-01-29,104,4,182,48,182,142,19,0,winter,0
2023-01-29,101,2,174,125,174,285,41,0,winter,0
2023-01-29,101,4,154,76,154,168,38,0,winter,0
2023-01-29,101,1,107,97,107,126,20,0,winter,0
2023-01-29,103,2,95,12,95,123,92,0,winter,0
2023-01-29,103,4,152,197,152,429,51,0,winter,0
2023-01-29,103,1,144,127,144,321,85,0,winter,0
2023-01-29,103,3,94,248,94,313,74,0,winter,0
2023-01-30,103,2,182,202,182,416,58,0,winter,0
2023-01-30,103,1,39,265,39,509,35,0,winter,0
2023-01-30,103,4,140,22,140,368,90,0,winter,0
2023-01-30,101,2,87,228,87,636,74,0,winter,0
2023-01-30,101,4,172,127,172,101,50,0,winter,0
2023-01-31,103,2,129,123,129,469,93,0,winter,0
2023-01-31,103,4,139,290,139,405,73,0,winter,0
2023-01-31,103,1,174,191,174,430,63,0,winter,0
2023-01-31,105,4,61,294,61,699,81,0,winter,0
2023-01-31,105,2,168,61,168,70,39,0,winter,0
2023-01-31,105,3,81,269,81,300,44,0,winter,0
2023-01-31,105,1,62,208,62,550,99,0,winter,0
2023-02-01,104,3,138,261,138,384,72,0,winter,0
2023-02-01,104,1,60,56,60,247,55,0,winter,0
2023-02-01,103,2,100,204,100,479,64,0,winter,0
2023-02-01,103,3,76,79,76,143,41,0,winter,0
2023-02-01,103,1,87,124,87,210,78,0,winter,0
2023-02-01,105,3,57,109,57,242,29,0,winter,0
2023-02-01,105,4,99,199,99,221,17,0,winter,0
2023-02-01,105,2,110,87,110,297,34,0,winter,0
2023-02-01,105,1,113,246,113,455,74,0,winter,0
2023-02-02,105,1,22,291,22,471,16,0,winter,0
2023-02-02,105,3,48,270,48,582,40,0,winter,0
2023-02-02,105,2,166,263,166,236,42,0,winter,0
2023-02-02,105,4,140,15,140,42,17,0,winter,0
2023-02-02,101,4,189,297,189,274,57,0,winter,0
2023-02-02,101,1,145,280,145,623,10,0,winter,0
2023-02-02,101,3,25,101,25,305,35,0,winter,0
2023-02-02,101,2,100,132,100,417,10,0,winter,0
2023-02-02,102,1,147,49,147,31,30,0,winter,0
2023-02-02,102,4,52,3,52,432,21,0,winter,0
2023-02-02,104,2,137,131,137,315,62,0,winter,0
2023-02-02,104,1,179,218,179,143,80,0,winter,0
2023-02-02,104,3,36,179,36,487,45,0,winter,0
2023-02-02,103,3,47,126,47,298,25,0,winter,0
2023-02-02,103,4,122,132,122,259,61,0,winter,0
2023-02-02,103,1,75,21,75,190,81,0,winter,0
2023-02-03,104,2,134,128,134,467,45,0,winter,0
2023-02-03,104,3,60,89,60,221,78,0,winter,0
2023-02-03,105,2,101,167,101,487,33,0,winter,0
2023-02-03,105,1,96,165,96,533,65,0,winter,0
2023-02-03,102,4,129,207,129,222,59,0,winter,0
2023-02-03,102,1,132,103,132,244,96,0,winter,0
2023-02-03,102,3,102,186,102,327,42,0,winter,0
2023-02-03,102,2,55,222,55,366,92,0,winter,0
2023-02-04,105,2,105,233,105,342,21,0,winter,0
2023-02-04,105,4,179,64,179,278,50,0,winter,0
2023-02-04,105,3,65,143,65,245,20,0,winter,0
2023-02-04,105,1,50,162,50,290,55,0,winter,0
2023-02-04,102,1,57,276,57,561,93,0,winter,0
2023-02-04,102,4,64,41,64,445,43,0,winter,0
2023-02-04,101,1,42,258,42,624,34,0,winter,0
2023-02-04,101,3,30,280,30,433,34,0,winter,0
2023-02-04,101,4,37,269,37,665,12,0,winter,0
2023-02-04,101,2,79,41,79,208,29,0,winter,0
2023-02-04,104,2,199,37,199,0,19,0,winter,0
2023-02-04,104,1,26,161,26,330,45,0,winter,0
2023-02-04,104,4,58,113,58,371,35,0,winter,0
2023-02-04,103,1,177,126,177,79,41,0,winter,0
2023-02-04,103,2,47,19,47,243,14,0,winter,0
2023-02-04,103,4,114,189,114,563,74,0,winter,0
2023-02-04,103,3,65,195,65,402,13,0,winter,0
2023-02-05,102,4,188,161,188,239,38,0,winter,0
2023-02-05,102,2,153,20,153,97,45,0,winter,0
2023-02-05,102,1,29,104,29,509,53,0,winter,0
2023-02-05,102,3,101,81,101,304,46,0,winter,0
2023-02-05,104,1,171,295,171,281,51,0,winter,0
2023-02-05,104,2,139,38,139,111,58,0,winter,0
2023-02-05,104,3,166,227,166,238,40,0,winter,0
2023-02-05,104,4,74,165,74,319,95,0,winter,0
2023-02-05,105,1,99,296,99,518,67,0,winter,0
2023-02-05,105,3,184,122,184,263,47,0,winter,0
2023-02-05,105,2,92,263,92,296,87,0,winter,0
2023-02-05,105,4,141,242,141,227,75,0,winter,0
2023-02-05,101,3,46,142,46,330,81,0,winter,0
2023-02-05,101,4,94,262,94,310,23,0,winter,0
2023-02-05,101,1,38,175,38,595,32,0,winter,0
2023-02-05,101,2,25,277,25,571,17,0,winter,0
2023-02-05,103,1,191,149,191,130,80,0,winter,0
2023-02-05,103,2,145,90,145,170,29,0,winter,0
2023-02-06,103,1,148,89,148,161,91,0,winter,0
2023-02-06,103,3,102,157,102,394,34,0,winter,0
2023-02-06,103,2,174,219,174,306,38,0,winter,0
2023-02-06,103,4,88,251,88,536,38,0,winter,0
2023-02-06,101,1,168,122,168,64,92,0,winter,0
2023-02-06,101,4,39,21,39,157,67,0,winter,0
2023-02-06,101,3,128,187,128,184,91,0,winter,0
2023-02-06,101,2,146,59,146,195,62,0,winter,0
2023-02-06,102,4,123,210,123,254,73,0,winter,0
2023-02-06,102,1,115,147,115,177,48,0,winter,0
2023-02-06,102,3,64,278,64,345,17,0,winter,0
2023-02-06,102,2,157,165,157,230,18,0,winter,0
2023-02-06,104,4,107,146,107,521,58,0,winter,0
2023-02-06,104,1,87,235,87,643,36,0,winter,0
2023-02-07,103,1,86,3,86,40,74,0,winter,0
2023-02-07,103,3,148,290,148,444,46,0,winter,0
2023-02-07,101,1,53,205,53,528,47,0,winter,0
2023-02-07,101,3,67,78,67,208,49,0,winter,0
2023-02-07,102,4,150,71,150,147,28,0,winter,0
2023-02-07,102,3,162,29,162,251,51,0,winter,0
2023-02-07,104,2,130,296,130,350,57,0,winter,0
2023-02-07,104,3,93,71,93,440,88,0,winter,0
2023-02-07,105,3,158,289,158,321,24,0,winter,0
2023-02-07,105,1,83,290,83,590,92,0,winter,0
2023-02-07,105,4,198,1,198,93,74,0,winter,0
2023-02-08,102,4,121,215,121,543,90,0,winter,0
2023-02-08,102,3,193,40,193,17,16,0,winter,0
2023-02-08,102,2,63,178,63,273,23,0,winter,0
2023-02-08,102,1,153,4,153,59,23,0,winter,0
2023-02-08,103,1,198,93,198,172,69,0,winter,0
2023-02-08,103,4,115,249,115,339,98,0,winter,0
2023-02-08,103,3,172,65,172,90,77,0,winter,0
2023-02-08,103,2,128,176,128,500,67,0,winter,0
2023-02-09,105,2,120,158,120,170,70,0,winter,0
2023-02-09,105,1,195,266,195,349,11,0,winter,0
2023-02-09,102,1,36,198,36,273,76,0,winter,0
2023-02-09,102,3,174,89,174,340,16,0,winter,0
2023-02-09,102,4,199,67,199,220,88,0,winter,0
2023-02-09,104,3,79,136,79,206,32,0,winter,0
2023-02-09,104,4,140,110,140,395,56,0,winter,0
2023-02-09,104,2,42,75,42,476,63,0,winter,0
2023-02-09,104,1,143,10,143,130,37,0,winter,0
2023-02-10,103,3,45,12,45,268,84,0,winter,0
2023-02-10,103,1,61,109,61,441,48,0,winter,0
2023-02-10,103,4,96,263,96,498,35,0,winter,0
2023-02-10,103,2,20,258,20,677,73,0,winter,0
2023-02-10,105,2,63,214,63,261,95,0,winter,0
2023-02-10,105,1,193,172,193,455,43,0,winter,0
2023-02-10,105,3,107,249,107,317,10,0,winter,0
2023-02-11,101,1,21,277,21,510,51,0,winter,0
2023-02-11,101,4,150,148,150,320,27,0,winter,0
2023-02-11,101,3,39,279,39,458,60,0,winter,0
2023-02-11,103,3,114,71,114,116,20,0,winter,0
2023-02-11,103,2,164,236,164,551,94,0,winter,0
2023-02-12,105,4,138,225,138,328,97,0,winter,0
2023-02-12,105,3,164,220,164,262,13,0,winter,0
2023-02-12,105,2,105,149,105,498,29,0,winter,0
2023-02-12,103,2,97,196,97,313,61,0,winter,0
2023-02-12,103,1,30,238,30,420,68,0,winter,0
2023-02-12,103,3,132,269,132,453,78,0,winter,0
2023-02-12,103,4,186,30,186,281,49,0,winter,0
2023-02-12,104,3,20,263,20,462,24,0,winter,0
2023-02-12,104,2,29,211,29,492,18,0,winter,0
2023-02-12,104,1,38,185,38,563,20,0,winter,0
2023-02-12,104,4,153,3,153,36,48,0,winter,0
2023-02-12,102,1,44,42,44,433,67,0,winter,0
2023-02-12,102,4,97,274,97,366,66,0,winter,0
2023-02-12,102,3,148,151,148,337,19,0,winter,0
2023-02-12,102,2,22,190,22,522,90,0,winter,0
2023-02-13,101,4,137,108,137,270,69,0,winter,0
2023-02-13,101,1,171,279,171,591,17,0,winter,0
2023-02-13,101,2,132,49,132,414,85,0,winter,0
2023-02-13,103,1,91,274,91,585,90,0,winter,0
2023-02-13,103,4,154,86,154,277,74,0,winter,0
2023-02-13,103,3,99,7,99,155,23,0,winter,0
2023-02-13,103,2,78,253,78,481,36,0,winter,0
2023-02-13,102,4,171,83,171,203,94,0,winter,0
2023-02-13,102,2,178,63,178,241,30,0,winter,0
2023-02-13,102,3,167,113,167,278,63,0,winter,0
2023-02-13,102,1,98,266,98,543,53,0,winter,0
2023-02-13,104,3,69,243,69,590,60,0,winter,0
2023-02-13,104,4,155,112,155,100,18,0,winter,0
2023-02-14,102,3,133,247,133,523,83,0,winter,0
2023-02-14,102,2,40,205,40,601,71,0,winter,0
2023-02-14,102,1,191,8,191,122,88,0,winter,0
2023-02-14,102,4,157,3,157,91,80,0,winter,0
2023-02-14,103,2,86,99,86,509,57,0,winter,0
2023-02-14,103,3,127,15,127,310,39,0,winter,0
2023-02-14,103,4,138,28,138,105,11,0,winter,0
2023-02-14,105,1,111,291,111,611,60,0,winter,0
2023-02-14,105,2,180,202,180,384,54,0,winter,0
2023-02-14,105,3,121,182,121,196,67,0,winter,0
2023-02-14,101,1,24,106,24,340,28,0,winter,0
2023-02-14,101,3,106,205,106,481,32,0,winter,0
2023-02-14,101,4,116,51,116,63,25,0,winter,0
2023-02-14,104,1,124,288,124,473,97,0,winter,0
2023-02-14,104,3,101,232,101,595,64,0,winter,0
2023-02-14,104,4,91,60,91,203,31,0,winter,0
2023-02-15,102,2,46,242,46,535,60,0,winter,0
2023-02-15,102,3,160,186,160,317,66,0,winter,0
2023-02-15,102,4,50,277,50,488,73,0,winter,0
2023-02-15,102,1,86,230,86,307,28,0,winter,0
2023-02-15,105,1,154,187,154,175,62,0,winter,0
2023-02-15,105,2,109,284,109,281,75,0,winter,0
2023-02-15,101,1,128,174,128,363,73,0,winter,0
2023-02-15,101,3,185,277,185,543,78,0,winter,0
2023-02-15,101,2,158,43,158,366,45,0,winter,0
2023-02-15,101,4,183,219,183,503,63,0,winter,0
2023-02-16,104,2,182,115,182,401,55,0,winter,0
2023-02-16,104,3,78,75,78,377,10,0,winter,0
2023-02-16,103,4,132,283,132,488,66,0,winter,0
2023-02-16,103,2,48,120,48,281,62,0,winter,0
2023-02-16,103,3,130,215,130,478,48,0,winter,0
2023-02-16,101,1,187,262,187,206,17,0,winter,0
2023-02-16,101,3,68,206,68,278,99,0,winter,0
2023-02-16,101,4,170,201,170,308,11,0,winter,0
2023-02-16,102,2,115,269,115,360,67,0,winter,0
2023-02-16,102,1,48,261,48,453,72,0,winter,0
2023-02-16,102,4,184,260,184,455,76,0,winter,0
2023-02-16,102,3,147,89,147,71,90,0,winter,0
2023-02-17,104,1,124,176,124,281,51,0,winter,0
2023-02-17,104,3,36,206,36,493,17,0,winter,0
2023-02-17,102,3,161,152,161,247,48,0,winter,0
2023-02-17,102,4,109,131,109,326,97,0,winter,0
2023-02-17,102,2,143,148,143,403,33,0,winter,0
2023-02-18,104,2,81,128,81,242,82,0,winter,0
2023-02-18,104,4,58,151,58,573,13,0,winter,0
2023-02-18,103,4,191,54,191,199,70,0,winter,0
2023-02-18,103,2,43,272,43,407,59,0,winter,0
2023-02-18,105,3,82,10,82,306,43,0,winter,0
2023-02-18,105,4,27,174,27,391,40,0,winter,0
2023-02-18,105,2,116,89,116,417,31,0,winter,0
2023-02-18,105,1,167,252,167,244,37,0,winter,0
2023-02-19,105,3,112,155,112,175,97,0,winter,0
2023-02-19,105,4,145,285,145,282,41,0,winter,0
2023-02-19,105,2,34,183,34,525,46,0,winter,0
2023-02-19,105,1,112,252,112,297,93,0,winter,0
2023-02-19,101,3,85,122,85,341,47,0,winter,0
2023-02-19,101,2,92,113,92,234,48,0,winter,0
2023-02-19,102,1,119,220,119,526,79,0,winter,0
2023-02-19,102,4,116,208,116,263,83,0,winter,0
